RACE,YEAR,RANK,FINISHING TIME,NAME,GENDER
SUMMER SPINE RACE,2019,25,153:26:47,Mark Smith,M
SUMMER SPINE RACE,2019,26,155:28:50,Ryk Downes,M
SUMMER SPINE RACE,2019,27,155:35:51,Andrea Fawell,F
SUMMER SPINE RACE,2019,DNF,DNF,Mark Mears-Baldwin,M
SUMMER SPINE RACE,2019,DNF,DNF,Gerry Dance,M
SUMMER SPINE RACE,2019,DNF,DNF,Nick Carpenter,M
SUMMER SPINE RACE,2019,DNF,DNF,Dylan White,M
SUMMER SPINE RACE,2019,DNF,DNF,Cees van der Land,M
SUMMER SPINE RACE,2019,DNF,DNF,John Boothman,M
SUMMER SPINE RACE,2019,DNF,DNF,Paul Summerfield,M
SUMMER SPINE RACE,2019,DNF,DNF,David Bloore,M
SUMMER SPINE RACE,2019,DNF,DNF,Paul Horsewood,M
SUMMER SPINE RACE,2019,DNF,DNF,Maximilian Rao,M
SUMMER SPINE RACE,2019,DNF,DNF,Kevin Otto,M
SUMMER SPINE RACE,2019,DNF,DNF,Matthew Neale,M
SUMMER SPINE RACE,2019,DNF,DNF,Stephen Larmour,M
SUMMER SPINE RACE,2018,DNF,78:04:14,Mark DENBY,M
SUMMER SPINE RACE,2018,DNF,91:21:58,Gregory CROWLEY,M
SUMMER SPINE RACE,2018,DNF,109:34:43,Jens WACKERHAGEN,M
SUMMER SPINE RACE,2018,DNF,112:39:01,Pete WOODWARD,M
SUMMER SPINE RACE,2018,DNF,114:52:12,Jonathan HALL,M
SUMMER SPINE RACE,2018,DNF,121:31:30,Heinz LOHER,M
SUMMER SPINE RACE,2018,DNF,131:07:13,Brigitte DAXELHOFFER,F
SUMMER SPINE RACE,2018,DNF,131:07:13,Kieran WALSHE,M
SUMMER SPINE RACE,2018,DNF,131:07:13,Robert CULLEN,M
SUMMER SPINE RACE,2018,DNF,137:22:17,Michael SYMONS,M
SUMMER SPINE RACE,2018,DNF,138:52:07,Kevin OTTO,M
SUMMER SPINE RACE,2018,DNF,138:52:07,Geoff WEBB,M
SUMMER SPINE RACE,2018,DNF,138:52:07,Michael LUNAN,M
SUMMER SPINE RACE,2018,DNF,142:15:41,Raj MAHAPATRA,M
SUMMER SPINE RACE,2018,DNF,144:01:35,Alan CORMACK,M
SUMMER SPINE RACE,2018,DNF,144:01:35,Thane HALL,M
SUMMER SPINE RACE,2018,DNF,144:06:28,Richard BEARD,M
SUMMER SPINE RACE,2018,DNF,146:57:30,Yvonne LEHNERT,F
SUMMER SPINE RACE,2018,DNF,147:16:12,Ismael EREN,M
SUMMER SPINE RACE,2018,DNF,155:00:40,Nick REED,M
SUMMER SPINE RACE,2018,DNF,160:36:37,Marlene HJORTEBJERG,F
SUMMER SPINE RACE,2018,DNF,160:36:37,Heine PETERSEN,M
SUMMER SPINE RACE,2018,DNF,DNF,Thomas LEGRAIN,M
SUMMER SPINE RACE,2018,DNF,DNF,Ian HASLETT,M
SUMMER SPINE RACE,2018,DNF,DNF,Helen BENNETT,F
SUMMER SPINE RACE,2018,DNF,DNF,James BINKS,M
SUMMER SPINE RACE,2018,DNF,DNF,Ed WALKER,M
SUMMER SPINE RACE,2018,DNF,DNF,Robert LOVEGROVE,M
SUMMER SPINE RACE,2017,1,128:54:24,Mark Kromeich,M
SUMMER SPINE RACE,2017,1,128:54:24,Olivier Lidec,M
SUMMER SPINE RACE,2017,3,131:40:47,Gary Morrison,M
SUMMER SPINE RACE,2017,4,132:24:52,Keith Cullen,M
SUMMER SPINE RACE,2017,4,132:24:52,Ger Cullen,M
SUMMER SPINE RACE,2017,6,134:23:38,Alan Purdue,M
SUMMER SPINE RACE,2017,7,142:52:10,Charl Erasmus,M
SUMMER SPINE RACE,2017,7,142:52:10,Raj Mahapatra,M
SUMMER SPINE RACE,2017,9,143:59:22,Daniel Fernando Rastelli,M
SUMMER SPINE RACE,2017,9,143:59:22,Stephanie Le Men,F
SUMMER SPINE RACE,2017,11,159:37:12,Kevin Otto,M
SUMMER SPINE RACE,2017,12,162:09:09,Eivind Aakre,M
SUMMER SPINE RACE,2017,12,162:09:09,Jose Sanchez-Cervi,M
